"id","text","Hello","Done","Connect","Order","Changing","Return","Other","Inform","Request","ID_product","size_product","color_product","material_product","cost_product","amount_product","name_promotion","content_promotion","Id member","phone member","level member","benefit member","feedback","shiping fee","size customer","height customer","weight customer","addr store","phone store","addr member"
"376881","onversation: Khách 1","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"376882","Khách 1: Mẫu này còn k c Phương","","","","","","","","","Khách 1: Mẫu này còn k c Phương","","","","","","Khách 1: Mẫu này còn k c Phương","","","","","","","","","","","","","",""
"376883","onversation: Khách 2","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"376884","dạ khi ko có đơn trên live những mẫu này ạ","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"376885","Khách 2: Alo","Khách 2: Alo","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"376886","Khách 2: 4a 2/4 Vĩnh hải nhtrang","","","","","","","","Khách 2: 4a 2/4 Vĩnh hải nhtrang","","","","","","","","","","","","","","","","","","","","","4a 2/4 Vĩnh hải nhtrang"
"376887","Khách 2: E jo này 165 k còn k ch lấy 2 cái","","","","","","","","","Khách 2: E jo này 165 k còn k ch lấy 2 cái","","","","","165 k","2 cái,Khách 2: E jo này 165 k còn k ch lấy 2 cái","","","","","","","","","","","","","",""
"376888","dạ giá 185k ạ","","","","","","","","","","","","","","185k","","","","","","","","","","","","","","",""
"376889","Khách 2: Ch bik roi","","","","","","","Khách 2: Ch bik roi","","","","","","","","","","","","","","","","","","","","","",""
"376890","Khách 2: Cai đầm đó bnhiu j e","","","","","","","","","Khách 2: Cai đầm đó bnhiu j e","","","","","Khách 2: Cai đầm đó bnhiu j e","","","","","","","","","","","","","","",""
"376891","Em chốt đơn hàng cho mình rồi chị nhé .Vì đơn hàng chốt qua tin nhắn nên bên e sẽ không gọi điện lại .Hàng chốt sẽ gói đi hàng liền nên chị tổng bill một lần giúp em .( Lưu ý bên em không ktra hàng trước khi nhận ,CÓ ĐƠN TRÊN LIVE c nhớ nhăc ạ , sau khi nhận hàng có vấn đề liên hệ hotline bên e để giải quyết ) Cám ơn chị ạ","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"376892","Khách 2: Uh gũi ch","","","","","","","Khách 2: Uh gũi ch","","","","","","","","","","","","","","","","","","","","","",""
"376893","dạ e còn đầm hồng ạ","","","","","","","","","","","","đầm hồng","","","","","","","","","","","","","","","","",""
"376894","Khách 2: 4a duog 2/4 vinh hải nhtrang","","","","","","","","Khách 2: 4a duog 2/4 vinh hải nhtrang","","","","","","","","","","","","","","","","","","","",""," 4a duog 2/4 vinh hải nhtrang"
"376895","Khách 2: Gũi ch nha","","","","","","","Khách 2: Gũi ch nha","","","","","","","","","","","","","","","","","","","","","",""
"376896","Khách 2: Đầm hồng ch phuog Mac còn k","","","","","","","","","Khách 2: Đầm hồng ch phuog Mac còn k","","","Đầm hồng","","","Khách 2: Đầm hồng ch phuog Mac còn k","","","","","","","","","","","","","",""
"376897","Khách 2: Có gũi ch chưs ch k chốt trên live","","","","","","","Khách 2: Có gũi ch chưs ch k chốt trên live","","","","","","","","","","","","","","","","","","","","","",""
