id,text,Hello,Done,Connect,Order,Changing,Return,Other,Inform,Request,ID_product,size_product,color_product,material_product,cost_product,amount_product,name_promotion,content_promotion,Id member,phone member,addr member,level member,benefit member,feedback,shiping fee,size customer,height customer,weight customer,addr store,phone store
380266,Khách 43: Liên hệ tư vấn viên,,,Khách 43: Liên hệ tư vấn viên,,,,,,,,,,,,,,,,,,,,,,,,,,
380267,"Đỗ Hoài Phương Boutique thường phản hồi lại trong 24h. Nếu Bạn muốn hỏi điều gì, hãy click vào nút ""Liên hệ tư vấn viên"" nhé.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
380268,Khách 43: Còn mẫu này ko shop,,,,,,,,,Khách 43: Còn mẫu này ko shop,,,,,,Khách 43: Còn mẫu này ko shop,,,,,,,,,,,,,,
380269,Cảm ơn bạn đã nhắn tin. Chúng tôi hiện đang vắng mặt và sẽ trả lời bạn trong giờ làm việc.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
380270,Khách 43: C gọi lại ko dc,,,,,,,Khách 43: C gọi lại ko dc,,,,,,,,,,,,,,,,,,,,,,
380271,Khách 43: Mà c ko nghe dc,,,,,,,Khách 43: Mà c ko nghe dc,,,,,,,,,,,,,,,,,,,,,,
380272,Khách 43: E có gọi cho c,,,,,,,Khách 43: E có gọi cho c,,,,,,,,,,,,,,,,,,,,,,
380273,Hãy để lại tin nhắn và Đỗ Hoài Phương Boutique sẽ trả lời Bạn trong thời gian sớm nhất.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
380274,Khách 43: Liên hệ tư vấn viên,,,Khách 43: Liên hệ tư vấn viên,,,,,,,,,,,,,,,,,,,,,,,,,,
380275,"Đỗ Hoài Phương Boutique thường phản hồi lại trong 24h. Nếu Bạn muốn hỏi điều gì, hãy click vào nút ""Liên hệ tư vấn viên"" nhé.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
380276,"Hiện tại hệ thống đang quá tải, khách vui lòng để lại nội dung , vấn đề , kèm theo hình ảnh mà bạn quan tâm hoặc cần xử lý",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
380277,ốt hàng (thông tin đầy đủ sđt + địa chỉ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
380278,vui lòng làm theo các bước để Nv xử lý đơn hàng nhanh hơn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
380279,251.730.9099.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0251.730.9099
380280,Khách 43: Hi e,Khách 43: Hi e,,,,,,,,,,,,,,,,,,,,,,,,,,,,
380281,Khách 43: Bạn kiêm tra coi số dt này bạn có ra bill chưa:xxxxx,,,,,,,Khách 43: Bạn kiêm tra coi số dt này bạn có ra bill chưa:xxxxx,,,,,,,,,,,,,,,,,,,,,,
380282,Hãy để lại tin nhắn và Đỗ Hoài Phương Boutique sẽ trả lời Bạn trong thời gian sớm nhất.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
380283,Khách 43: Liên hệ tư vấn viên,,,Khách 43: Liên hệ tư vấn viên,,,,,,,,,,,,,,,,,,,,,,,,,,
380284,"Đỗ Hoài Phương Boutique thường phản hồi lại trong 24h. Nếu Bạn muốn hỏi điều gì, hãy click vào nút ""Liên hệ tư vấn viên"" nhé.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
