"id","text","Hello","Done","Connect","Order","Changing","Return","Other","Inform","Request","ID_product","size_product","color_product","material_product","cost_product","amount_product","name_promotion","content_promotion","Id member","phone member","addr member","level member","benefit member","feedback","shiping fee","size customer","height customer","weight customer","addr store","phone store"
"387036","Khách 144: 2 váy này giá bnhiu vậy ạ","","","","","","","","","Khách 144: 2 váy này giá bnhiu vậy ạ","","","","","bnhiu","2 váy","","","","","","","","","","","","","",""
"387037","Shop: Hãy để lại tin nhắn và Đỗ Hoài Phương Boutique sẽ trả lời Bạn trong thời gian sớm nhất.","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"387038","Khách 144: Liên hệ tư vấn viên","","","Khách 144: Liên hệ tư vấn viên","","","","","","","","","","","","","","","","","","","","","","","","","",""
"387039","Shop: Đỗ Hoài Phương Boutique thường phản hồi lại trong 24h. Nếu Bạn muốn hỏi điều gì, hãy click vào nút ""Liên hệ tư vấn viên"" nhé.","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"387040","Khách 144: 2 váy này giá bnhiu vậy ạ","","","","","","","","","Khách 144: 2 váy này giá bnhiu vậy ạ","","","","","giá bnhiu","2 váy","","","","","","","","","","","","","",""
"387041","Shop: Chào anh/chị ChipBaby ChipBaby !!!Cảm ơn anh/chị đã liên hệ với Đỗ Hoài Phương Boutique. Hãy gửi cho chúng tôi bất kì câu hỏi nào anh/chị đang thắc mắc nhé","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"387042","Shop: Chào mừng Bạn ChipBaby ChipBaby!! Cảm ơn Bạn đã liên hệ với Đỗ Hoài Phương Boutique. Chúng tôi có thể giúp gì cho Bạn ạ?.","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"387043","Shop: Cảm ơn bạn đã nhắn tin. Chúng tôi hiện đang vắng mặt và sẽ trả lời bạn trong giờ làm việc.","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"387044","Khách 144: Bắt đầu","Khách 144: Bắt đầu","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"387045","**** Conversation: Khách 145","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"387046","Shop: e nhận dc r ạ","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"387047","Khách 145: Rồi e","","","","","","","Khách 145: Rồi e","","","","","","","","","","","","","","","","","","","","","",""
"387048","Khách 145: Ok e","","","","","","","Khách 145: Ok e","","","","","","","","","","","","","","","","","","","","","",""
"387049","Shop: còn 1071k nha c","","","","","","","","","","","","","","1071k","","","","","","","","","","","","","","",""
"387050","Shop: ĐÃ TRỪ LỖI 195K","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"387051","Shop: ĐƠN SAU TRỪ 195K","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"387052","Shop: e nhận dc r ạ","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"387053","Khách 145: Rồi nha e","","","","","","","Khách 145: Rồi nha e","","","","","","","","","","","","","","","","","","","","","",""
"387054","Khách 145: Chắc mai mới gửi đc e","","","","","","","Khách 145: Chắc mai mới gửi đc e","","","","","","","","","","","","","","","","","","","","","",""
"387055","Shop: e nhận dc r ạ","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"387056","Khách 145: Vậy set này còn k e","","","","","","","","","Khách 145: Vậy set này còn k e","","","","","","Khách 145: Vậy set này còn k e","","","","","","","","","","","","","",""
"387057","Shop: Chị đọc kĩ thông tin em gửi nhé! Chị lưu ý ship thường đừng ship nhanh vì phí ship sẽ cao nha chị! Chị gửi về vui lòng để thông tin người gửi là tên facebook & sdt đặt hàng nha!","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"387058","Cám ơn anh/chị đã tin tưởng và ủng hộ shop! Chúng em đang làm việc chăm chỉ để mang đến cho anh/chị dịch vụ tốt hơn. Hotline: 0251.730.9099","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0251.730.9099"
